Ahal_ID,mRNA,H3K4me1,H3K4me2,H3K4me3,H4ac,H3K36me3,H3K27me3,H2AZ,H3K9me2,H3
g00216,,,,,,,,,,9
g00217,,,,,,,,,,
g00218,,,,,,,,,,
g00219,,,,,,,,,,
g00220,,,,35,4,,,,,
g00221,,,,8,,11,,,,
g00222,,,,,,,,,,
g00223,,,,,,,,,,
g00224,,,,,,,,,,
g00225,,,,,,,,,,
g00226,,,,,4,,,5,,4
g00227,,,,,,,,,,
g00228,,,,,,,,,,
g00229,,,,,,,,,,
g00230,,,,,,,,,,4
g00231,,,,,,,,,,
g00232,,,,,,,,,,
g00233,,,,,35,,,4,,
g00234,,,,,,,,,,
g00235,,,,,,,,9,,
g00236,,,,,,,,,,
g00237,,5,,,,,,,,
g00238,,,,,,,,,,
g00239,,,,,,,,,,
g00240,,,,,,,,,,
g00241,,,,,,,,,,
g00242,,,,,,,,,,
g00243,,,,,10,,,,,
g00244,,,,,,,,,,
g00245,,,,,,,,,,
g00246,,,,,,,,,,
g00247,,,,,,,,,,
g00248,,,,,,,,,,
g00249,,,,,,,,,,4
g00250,,,,,,,,,,
g00251,,,,,,,,,,
g00252,,115,4,,,34,89,,,
g00253,,,,,,,,,,
g00254,,,,,,,,,,
g00255,,,,,,,,,,
g00256,,,,,,,,,,
g00257,,,,,,,,,,
g00258,,,,,,,,,,
g00259,,,,,,,,,,
g00260,,,,,,,,,,
g00261,,,,49,43,,,4,,
g00262,,,,,,,,,,
g00263,,,,,9,,,,,
g00264,,,,,,,,,,
g00265,,,,,,,,,,
g00266,,,,,,,,,,
g00267,,,,,,,,,,
g00268,,,,,,,,,,
g00269,,148,,,21,,53,,,
g00270,,,,,,23,,,,
g00271,,,,,,,,,,
g00272,,,,,,,,,,
g00273,,,,,,,,,,
g00274,,,,,,,,,,
g00275,,4,,,,,,5,,
g00276,,,,,,,,,,
g00277,,,,,,,,,,
g00278,,,,,,,,,,
g00279,,,,,,,,,,
g00280,,,,,,,,,,
g00281,,,,,,,,,,
g00282,,,,,,,,,,
g00283,,,,,,,,5,,
g00284,,,,,,,,,,
g00285,21,,,,,21,,,,
g00286,,,,,,,23,,,
g00287,,,,,,,,9,,
g00288,,,,,,,,,,4
g00289,,,,,,,,,,
g00290,,,,,,,20,,,
g00291,,,,,,,,,,
g00292,,,,,,,,,,
g00293,,,,,,,,,,
g00294,,,,,,,,,,
g00295,,,,,,,,,,
g00296,,,,,,,,,,
